City,geom,Incoming,Outgoing,Risk,id
Prinsburg,0101000020E6100000CD45E5DBF7CB57C0E9EEB048AB774640,0,0,0.0004066326824043175,100
Roosevelt,0101000020E61000001EAB48A67EC657C0EA141CF951674840,0,0,0.00010424757738466084,101
Roosevelt,0101000020E6100000AE7087FEA7C557C010AC0C882A664840,0,0,0.00010424757738466084,102
Humboldt,0101000020E6100000C001F72A0E4658C023CF553AF4754840,0,0,9.817651282002093e-05,103
Lonsdale,0101000020E6100000B256D240085B57C0B3B3D511263D4640,2,0,0.0004970802451675123,104
Dexter,0101000020E61000003EAEACC5E22C57C0D66AE6A521DC4540,2,2,0.0003971646068839407,105
Canton,0101000020E61000005280E98383FB56C09778DAB5CEC34540,0,0,0.00022567700574820855,106
Evansville,0101000020E6100000D68D1F4CF4EB57C06E07543CCC004740,0,0,0.0003636140977159067,107
Rice Lake,0101000020E61000008CC114D25C0757C0EFD7B24FCE724740,0,0,8.714471273133172e-05,108
Foley,0101000020E61000007893A7B6337A57C0F2E6EE83F0D44640,0,0,0.0003639024708596835,109
Lester Prairie,0101000020E6100000BE63AB1E588257C0F5C596F110714640,7,5,0.0009372901038351381,110
Burnsville,0101000020E61000000728769EE35157C068214CBEE6614640,22,20,0.0021289647734288293,111
Excelsior,0101000020E6100000B586DA40426457C01D0483475D734640,84,82,0.009843477336514181,112
Hitterdal,0101000020E6100000E18638BA891058C04C5ACB63267D4740,0,0,0.0001730762527533551,113
Pine River,0101000020E61000000CAAB73A719957C0E68B105D785C4740,0,0,0.0008162461036627831,114
Madelia,0101000020E610000005591938E49A57C024CD4D7827064640,2,7,0.0004161946532784589,115
Springfield,0101000020E610000076BD8887D7BE57C05B145D6B5E1E4640,0,0,0.00047602772515412334,116
Hanska,0101000020E6100000C516EC3CA59F57C0BADED24A0C134640,5,1,0.0004104079439536261,117
Greenwald,0101000020E610000052D51E78FFB657C0EF339A35FBCC4640,0,0,0.0010443787274247442,118
Saint Francis,0101000020E61000003D8A7F23055957C023DE94CD0DB34640,15,20,0.0018457584305295379,119
Saint Francis,0101000020E6100000C25745982B5457C05C6BE9B35EB54640,15,20,0.0018457584305295379,120
Elbow Lake,0101000020E6100000FE6F4F2D9CFE57C0FBD4BE42B3FE4640,0,0,0.0003237562342196044,121
Riverton,0101000020E61000005612A538218357C0624C18B6AC3A4740,0,0,0.000649977194869087,122
Robbinsdale,0101000020E6100000840B58E3525557C0EF4A695056834640,62,47,0.00597198106461106,123
Le Center,0101000020E61000002F33793ACA6E57C00DB7958E7B314640,5,2,0.0005732772390500521,124
Gilman,0101000020E6100000A8136A2FB47C57C089B0F90020DE4640,0,0,0.00031851495384345024,125
Barry,0101000020E610000031A6161ADB2358C04BEEAAB475C74640,0,0,0.0002245693375964321,126
Woodstock,0101000020E6100000BED99FEC300658C0D404332468014640,0,0,0.0002702738308455803,127
Stockton,0101000020E6100000DECB855641F156C0637C06B578034640,0,0,0.000707190371055195,128
Miesville,0101000020E61000009BDFC399743457C0FACF86ADAB4C4640,3,4,0.00046133833821149076,129
Brooklyn Center,0101000020E61000000C33ACDF3B5457C099DD42AAB7884640,49,44,0.0055138081010767965,130
Geneva,0101000020E6100000F823D2492B5157C0F8FA8B1251E94540,0,0,0.0005966495841957247,131
Annandale,0101000020E6100000ABA7C8D3BC8757C00215AD203EA14640,2,2,0.0004551373221572643,132
Okabena,0101000020E6100000137DCA6F66D457C0B5347F65A1DE4540,0,0,0.0003690470283359152,133
Battle Lake,0101000020E61000004809D62506EE57C0A001FD6369244740,0,0,0.00031463813147420143,134
Chanhassen,0101000020E6100000497AFC59026157C06017532E5E6E4640,52,72,0.00547425643160698,135
Chanhassen,0101000020E610000022B2D835016457C0B04085BA5F6D4640,52,72,0.00547425643160698,136
Lewisville,0101000020E6100000C43AB65ECB9B57C0D96A559048F64540,0,0,0.00039466032508777237,137
Shoreview,0101000020E610000065D07E60B04857C0B3722485C78A4640,48,43,0.005448871187083387,138
Orono,0101000020E610000095AA7E25D06557C0EEC0DB1C727B4640,45,50,0.004961838668289938,139
Saint Bonifacius,0101000020E61000005980A4A8D76F57C093F9DDB3E4734640,15,13,0.0018205370905892727,140
Kandiyohi,0101000020E6100000D8D55503B4BB57C090BB6D48D5904640,1,0,0.00041403637778976324,141
Franklin,0101000020E61000008258796995B857C0D5263D3EEB434640,0,0,0.0004436989791444633,142
Eden Valley,0101000020E6100000DD014364E1A257C0C55F7F754FAA4640,0,0,0.0009086230582879603,143
Eden Valley,0101000020E610000050DCB38CF4A257C0D68269D612A94640,0,0,0.0009086230582879603,144
Sherburn,0101000020E61000005717B3348EAE57C05CDDB64BD2D34540,0,0,0.00039604755829687847,145
Pequot Lakes,0101000020E6100000A73D527B189357C0118C07E1344B4740,0,0,0.0004575153600486965,146
Lakeville,0101000020E61000004933A50C1B5057C040513B379D564640,15,9,0.0014671126122252826,147
Plato,0101000020E6100000FCF46DBB888257C0BF6DCAD5DF624640,6,2,0.0007653557798412488,148
Byron,0101000020E6100000EE8C69A5052957C0FA1EA7ACE2044640,1,3,0.00046045835833343743,149
Mazeppa,0101000020E6100000DE24353A922257C00C617C8C07234640,1,3,0.00066361501680212,150
Kasson,0101000020E6100000638C25D2E52F57C076B63DD656044640,2,1,0.0008213181587596695,151
Savage,0101000020E6100000D05961613E5757C02E5E20B293604640,20,26,0.0017747167491537052,152
Royalton,0101000020E610000098625201B79257C0B5C2C13E8BEA4640,0,0,0.001012779309610567,153
Royalton,0101000020E6100000951E001EF19257C0EB9DEC95E5E84640,0,0,0.001012779309610567,154
Prior Lake,0101000020E6100000939476B4315C57C036A3223DE15C4640,14,12,0.0014372979867922743,155
Hawley,0101000020E6100000EF3F2D39571458C03FF77E7041704740,0,0,0.0001768940741823629,156
Saint Paul Park,0101000020E610000080E0251FAD3F57C0591F6F48026B4640,28,25,0.0024589880147407304,157
Saint Michael,0101000020E6100000931D486A4A6C57C06094C398C7994640,17,8,0.001909488646088175,158
Credit River,0101000020E6100000EDB0E853F65657C04372993242564640,7,14,0.0009576539719781119,159
Glencoe,0101000020E610000085EF0802A78957C067B45F048F624640,1,1,0.0005892603046457691,160
Bigelow,0101000020E6100000C3DD65ED22EC57C0789B3926A6C04540,0,0,0.00012553329685675981,161
Warroad,0101000020E610000039EF257F01D557C0AA8EEAF23C754840,0,0,4.210958427536291e-05,162
New Prague,0101000020E6100000FA91105A906457C09D28FABDD8444640,11,5,0.0012272882612880016,163
New Prague,0101000020E6100000D5843DFA086557C0F30631EA94464640,11,5,0.0012272882612880016,164
Wilton,0101000020E61000001174610AF2BF57C0DE1D2F33F8C04740,0,0,0.00017130910152682484,165
Janesville,0101000020E61000000A0FC5FB716D57C0072AEC7D6B0F4640,3,2,0.0006301399445572561,166
Pillager,0101000020E61000000AECEA5EB29E57C0942C7FA0312A4740,0,0,0.0003068380450521985,167
Harris,0101000020E6100000615E73F8283F57C03B22F84580CC4640,4,5,0.000339551995843622,168
Urbank,0101000020E6100000376FB30FABE057C08F9D351AE60F4740,0,0,0.00031808975957826695,169
Windom,0101000020E610000007C19B9BB4C757C0AD75EF8AD8EF4540,0,0,0.00044870498140312534,170
Adams,0101000020E61000001ACFDD6C052E57C00454D08A5DC84540,1,3,0.0003931040511462459,171
Alberta,0101000020E61000000173303E390358C00225AA0E96C94640,0,0,0.000346946993564869,172
Lake Benton,0101000020E61000003FC23BC6851258C019DF24D4CE214640,0,0,0.00012252368349003064,173
Maplewood,0101000020E61000004C1E5AA8934157C0E200935CF07D4640,35,41,0.004216162204377699,174
Winnebago,0101000020E6100000D7B8F08DE58A57C0AF716F2BDEE14540,1,0,0.00036018037451764084,175
Barnum,0101000020E61000001FE915920E2C57C0553EC040AD404740,0,0,0.00020188584059323823,176
Trimont,0101000020E6100000AD4FFB30D6AD57C088226FF169E14540,0,0,0.00045749124875008805,177
Saint Rosa,0101000020E6100000897131C7D5AD57C0BB742F6244DD4640,0,0,0.0005594901284149055,178
Babbitt,0101000020E61000003EE3735889FC56C05EFD5D587ED24740,0,0,4.294977790849646e-05,179
Lexington,0101000020E6100000BFA5C7C0F64A57C090BC15DCAE914640,71,66,0.007116014343249518,180
Forest Lake,0101000020E6100000B44F6D1B543D57C0DB7C65D973A04640,6,7,0.0011431736831062727,181
Dennison,0101000020E6100000081A88FCEA4157C06D6524FE54344640,9,11,0.0008488970496679389,182
Dennison,0101000020E6100000EE1CA3489D4257C0BB99F76F5B344640,9,11,0.0008488970496679389,183
