"City","geom","Incoming","Outgoing","Risk"
"Dassel","0101000020E61000002CE001F7289457C0ECA93F109B8A4640",4,6,0.0007967707831150534
"Clearwater","0101000020E6100000D9807BD5E18257C01CD4254B57B44640",3,6,0.0008057804855485345
"Kilkenny","0101000020E610000091EE77F2BD6457C0AC7743964F284640",3,4,0.0010087204556246173
"Fifty Lakes","0101000020E6100000DBE35EA5BF8557C0CC28C0C27B614740",0,0,0.0003586905171085128
"Red Wing","0101000020E610000052DB2C01A22657C0B2ABD08B724A4640",7,9,0.0007851249953533439
"Ada","0101000020E61000004A9F31F70D2158C012536C1241A64740",0,0,0.0004048742551696184
"Murdock","0101000020E610000072C33D0D36D957C0C541EF67989C4640",2,0,0.0007919552845732099
"Granite Falls","0101000020E61000002B6E7C9A50E357C0C3EAD0B5DD674640",4,12,0.0018327669932266069
"Granite Falls","0101000020E61000004EE1DC6A83E157C06A640A87B2674640",4,12,0.0018327669932266069
"Zumbro Falls","0101000020E6100000C389BC44491B57C08CBA020172244640",5,7,0.0008637967150534484
"Rush City","0101000020E61000008AFD6EDAC93D57C02F6C3DB7FFD74640",2,7,0.0005654079778052199
"Afton","0101000020E6100000A3E0438C513457C047F84D4BBC734640",15,21,0.0020272211240383677
"Baudette","0101000020E610000082243E24F0A557C033C5E76E085B4840",0,0,3.0476526714141253e-05
"Waldorf","0101000020E6100000159FA8C8A46C57C0DC4FFE6A71F74540",7,5,0.0009454489505687517
"Peterson","0101000020E61000001ABC176754F556C07A0C0E4FB7E44540",11,10,0.0007633506692680232
"Ormsby","0101000020E61000007F82DEA29CAC57C0F88FCDBA70EC4540",5,16,0.001652956045003198
"Ormsby","0101000020E61000006C0397BDBFAC57C049F6F5E501ED4540",5,16,0.001652956045003198
"Brownsdale","0101000020E6100000F3570D9B973757C046742454C4DE4540",3,4,0.0007056407920581339
"Courtland","0101000020E610000074C195162C9657C081EA3CE78F224640",2,2,0.0008891602878930408
"Darwin","0101000020E6100000C9E3333E789A57C00F5C6EBE638C4640",5,7,0.0007622109410000233
"Mizpah","0101000020E61000005B1EF91FA48D57C08E71E708DEF54740",0,0,8.388327828495878e-05
"Spicer","0101000020E6100000A7FABF2E31BC57C051E01365C89D4640",2,1,0.0007875060277007903
"Northrop","0101000020E61000004BBE28FCE99B57C00290380835DE4540",1,5,0.0008640887568649293
"Millerville","0101000020E6100000C4FD04569AE357C0F40424AFDA084740",0,0,0.0004447118608997929
"Perley","0101000020E610000093CF11A14B3358C0A8B8445D8A964740",0,0,0.0003303026020016362
"Hibbing","0101000020E61000000F429327B53C57C07368F036F0B24740",0,0,0.0001819275314744877
"Wyoming","0101000020E6100000EB6C2348833E57C0A8DF2BA611AB4640",8,19,0.0015675150092769022
"Minnesota Lake","0101000020E6100000ECCC593F457557C076C6E7E8B8EC4540",6,8,0.0018122504822472303
"Minnesota Lake","0101000020E6100000A2C40FE7F97457C00740AE7F96EB4540",6,8,0.0018122504822472303
"Spring Hill","0101000020E6100000F99BF8083BB557C04B0267FDFAC24640",3,2,0.0006664848543439675
"Taunton","0101000020E6100000DEAFA1B0070458C0C0733E6D104C4640",2,1,0.0006698439822017509
"Quamba","0101000020E6100000494DBB19384B57C0C8D2164A30F54640",0,0,0.0005060787392097441
"Currie","0101000020E61000005FF9B97AACEA57C073627E6C02094640",0,0,0.0005527010975698409
"Mahtomedi","0101000020E61000007FFF85B0D23D57C0193012B2EC874640",52,50,0.0046923177070687175
"Apple Valley","0101000020E6100000724D1174D84C57C078AF5BD5745F4640",31,25,0.003229257684617213
"Saint Paul","0101000020E6100000AE489E6EA74657C0133CC17C51794640",89,73,0.009634402158917902
"Cottonwood","0101000020E6100000E2C5DFEC3CEB57C026F39954724E4640",1,3,0.0008935335314329357
"North Branch","0101000020E61000004F8CE752633D57C0FFA2F3B677C14640",4,14,0.000668181860883156
"Nevis","0101000020E6100000E9527E4BE9B557C089A97239797B4740",0,0,0.00019876787851028435
"Isanti","0101000020E6100000F8BBF4406B4F57C0EA222A4B08BF4640",1,0,0.0010036664638734026
"Zimmerman","0101000020E6100000D282A5CE4A6657C033B1693679B84640",8,18,0.0011558591092531458
"Saint Peter","0101000020E61000005C32ACF1D57D57C04FDA10E1382A4640",9,8,0.0015256341697507901
"Victoria","0101000020E610000027FE3D23226A57C06A517238636E4640",24,23,0.002673110743646808
"Montrose","0101000020E610000072BC8779E77A57C06545361690884640",14,22,0.0016520856976456732
